;avgGS;lat;long;maxGS;minGS;numGS;stdDevGS;Country_Code;Avis;Date
178;3.073170731707317;56.130366;-106.346771;8.0;0.0;41;2.631518562818898;CAN;pos;2017-04-22
1018;-3.3333333333333335;31.046051;34.851612;-2.0;-4.0;6;0.9428090415820634;ISR;neg;2017-04-22
1123;1.3599999999999999;34.802075;38.996815;3.0;0.0;5;1.3108775686539151;SYR;pos;2017-04-22
2296;-5.0;12.879721;121.774017;-5.0;-5.0;2;0.0;PHL;neg;2017-04-22
652;4.25;32.427908;53.688046;8.0;3.5;10;1.2698425099200294;IRN;pos;2017-04-22
2783;-10.0;33.223191;43.679291;-10.0;-10.0;1;0.0;IRQ;neg;2017-04-22
2310;7.4;49.817492;15.472962;7.4;7.4;2;0.0;CZE;pos;2017-04-22
1324;1.5;25.930414;50.637772;3.0;1.0;4;0.8660254037844386;BHR;pos;2017-04-22
1690;3.1333333333333333;30.585164;36.238414;3.4;3.0;3;0.18856180831641275;JOR;pos;2017-04-22
1705;6.6000000000000005;52.132633;5.291266;7.0;6.4;3;0.2828427124746189;NLD;pos;2017-04-22
2256;-10.0;15.199999;-86.241905;-10.0;-10.0;2;0.0;HND;neg;2017-04-22
597;4.254545454545454;33.223191;43.679291;8.0;0.0;11;2.993436345911634;IRQ;pos;2017-04-22
2812;-2.0;30.585164;36.238414;-2.0;-2.0;1;0.0;JOR;neg;2017-04-22
561;-6.233333333333333;50.503887;4.469936;-2.0;-10.0;12;2.775888246229584;BEL;neg;2017-04-22
641;-4.5;56.130366;-106.346771;-2.0;-10.0;10;3.0413812651491097;CAN;neg;2017-04-22
423;4.0058823529411764;32.427908;53.688046;10.0;0.0;17;3.6661360631075866;IRN;pos;2017-04-23
2085;0.4;56.26392;9.501785;0.4;0.4;2;0.0;DNK;pos;2017-04-23
2696;-5.0;48.379433;31.16558;-5.0;-5.0;1;0.0;UKR;neg;2017-04-23
2697;2.8;20.593684;78.96288;2.8;2.8;1;0.0;IND;pos;2017-04-23
1700;8.0;41.377491;64.585262;8.0;8.0;3;0.0;UZB;pos;2017-04-23
1634;1.8999999999999997;39.399872;-8.224454;1.9;1.9;3;0.0;PRT;pos;2017-04-23
437;-6.1875;55.378051;-3.435973;-2.0;-10.0;16;3.2828864966672238;GBR;neg;2017-04-23
439;2.375;56.130366;-106.346771;3.4;0.0;16;1.2219349409849936;CAN;pos;2017-04-23
1699;2.7999999999999994;34.802075;38.996815;2.8;2.8;3;0.0;SYR;pos;2017-04-23
2703;-0.4;47.516231;14.550072;-0.4;-0.4;1;0.0;AUT;neg;2017-04-23
2706;-2.0;43.750298;7.412841;-2.0;-2.0;1;0.0;MCO;neg;2017-04-23
2425;0.4;33.93911;67.709953;0.4;0.4;2;0.0;AFG;pos;2017-04-23
2707;-4.0;-4.679574;55.491977;-4.0;-4.0;1;0.0;SYC;neg;2017-04-23
2711;0.4;-30.559482;22.937506;0.4;0.4;1;0.0;ZAF;pos;2017-04-23
1126;-6.5;6.42375;-66.58973;-6.5;-6.5;5;0.0;VEN;neg;2017-04-23
267;2.562962962962963;50.503887;4.469936;7.0;0.0;27;2.007974499644069;BEL;pos;2017-04-23
1639;5.0;10.691803;-61.222503;5.0;5.0;3;0.0;TTO;pos;2017-04-23
1640;-4.0;-25.274398;133.775136;-2.0;-5.0;3;1.4142135623730951;AUS;neg;2017-04-23
1632;-3.3333333333333335;52.132633;5.291266;-0.4;-9.2;3;4.148359782961078;NLD;neg;2017-04-23
70;-5.46421052631579;46.227638;2.213749;-0.3;-10.0;95;3.502417684955522;FRA;neg;2017-04-23
